user_id,channel,record_datetime,duration_hhmmss,gender,age,province,age_group,time_of_day,seconds_viewed
939659,Supersport Live Events,2016-03-30T11:30:00.000Z,1899-12-31T00:00:30.000Z,male,21,Limpopo,youth,Morning,30
939659,Channel O,2016-03-24T06:57:00.000Z,1899-12-31T00:06:06.000Z,male,21,Limpopo,youth,Morning,366
939659,Channel O,2016-03-21T07:30:00.000Z,1899-12-31T00:07:45.000Z,male,21,Limpopo,youth,Morning,465
778615,Channel O,2016-03-12T15:45:00.000Z,1899-12-31T00:03:45.000Z,None,0,None,children,Afternoon,225
866205,Supersport Live Events,2016-03-14T08:49:00.000Z,1899-12-31T00:08:44.000Z,male,36,Gauteng,adults,Morning,524
866205,ICC Cricket World Cup 2011,2016-03-15T09:50:00.000Z,1899-12-31T00:08:08.000Z,male,36,Gauteng,adults,Morning,488
866205,ICC Cricket World Cup 2011,2016-03-12T16:05:00.000Z,1899-12-31T00:42:08.000Z,male,36,Gauteng,adults,Afternoon,2528
771867,CNN,2016-02-05T05:40:00.000Z,1899-12-31T00:06:15.000Z,male,14,Gauteng,children,Morning,375
771867,Trace TV,2016-03-01T22:04:00.000Z,1899-12-31T00:19:06.000Z,male,14,Gauteng,children,Night,1146
771867,M-Net,2016-03-13T07:08:00.000Z,1899-12-31T00:05:12.000Z,male,14,Gauteng,children,Morning,312
771867,Supersport Live Events,2016-03-13T21:05:00.000Z,1899-12-31T00:00:00.000Z,male,14,Gauteng,children,Night,0
771867,SuperSport Blitz,2016-01-31T16:42:00.000Z,1899-12-31T00:00:22.000Z,male,14,Gauteng,children,Afternoon,22
771867,CNN,2016-01-17T16:56:00.000Z,1899-12-31T00:00:42.000Z,male,14,Gauteng,children,Afternoon,42
771867,Supersport Live Events,2016-01-22T14:14:00.000Z,1899-12-31T00:01:20.000Z,male,14,Gauteng,children,Afternoon,80
771867,Africa Magic,2016-01-30T19:20:00.000Z,1899-12-31T00:01:23.000Z,male,14,Gauteng,children,Evening,83
771867,Africa Magic,2016-01-18T16:12:00.000Z,1899-12-31T00:01:58.500Z,male,14,Gauteng,children,Afternoon,118
771867,Africa Magic,2016-03-31T17:57:00.000Z,1899-12-31T00:00:56.000Z,male,14,Gauteng,children,Evening,56
809337,Boomerang,2016-02-13T00:19:00.000Z,1899-12-31T00:04:16.000Z,male,21,Gauteng,youth,Night,256
779442,DStv Events 1,2016-01-18T21:54:00.000Z,1899-12-31T00:00:00.000Z,female,31,Free State,youth,Night,0
779442,Channel O,2016-01-18T22:04:00.000Z,1899-12-31T00:00:42.000Z,female,31,Free State,youth,Night,42
