user_id,channel,record_datetime_utc,record_datetime_sast,month_sast,duration_hhmmss,gender,age,province,race,age_group,time_of_day,seconds_viewed,hours_viewed
892465,Vuzu,2016-03-19T07:23:00.000Z,2016-03-19T09:23:00.000Z,2016-03,1899-12-31T00:00:20.000Z,male,36,Gauteng,black,adults,Morning,20,0.01
892465,Africa Magic,2016-03-31T10:45:00.000Z,2016-03-31T12:45:00.000Z,2016-03,1899-12-31T00:00:08.000Z,male,36,Gauteng,black,adults,Afternoon,8,0.00
892465,Africa Magic,2016-03-30T14:13:00.000Z,2016-03-30T16:13:00.000Z,2016-03,1899-12-31T00:00:26.000Z,male,36,Gauteng,black,adults,Afternoon,26,0.01
820335,ICC Cricket World Cup 2011,2016-03-08T09:19:00.000Z,2016-03-08T11:19:00.000Z,2016-03,1899-12-31T00:22:56.000Z,male,17,Gauteng,indian_asian,children,Morning,1376,0.38
820335,Cartoon Network,2016-03-19T05:10:00.000Z,2016-03-19T07:10:00.000Z,2016-03,1899-12-31T00:00:06.000Z,male,17,Gauteng,indian_asian,children,Morning,6,0.00
820335,ICC Cricket World Cup 2011,2016-03-12T09:38:00.000Z,2016-03-12T11:38:00.000Z,2016-03,1899-12-31T00:00:38.000Z,male,17,Gauteng,indian_asian,children,Morning,38,0.01
820335,ICC Cricket World Cup 2011,2016-03-12T09:48:00.000Z,2016-03-12T11:48:00.000Z,2016-03,1899-12-31T00:01:52.000Z,male,17,Gauteng,indian_asian,children,Morning,112,0.03
820335,ICC Cricket World Cup 2011,2016-03-09T13:14:00.000Z,2016-03-09T15:14:00.000Z,2016-03,1899-12-31T00:27:16.000Z,male,17,Gauteng,indian_asian,children,Afternoon,1636,0.45
820335,ICC Cricket World Cup 2011,2016-03-26T12:44:00.000Z,2016-03-26T14:44:00.000Z,2016-03,1899-12-31T00:04:22.000Z,male,17,Gauteng,indian_asian,children,Afternoon,262,0.07
830836,Boomerang,2016-03-02T11:07:00.000Z,2016-03-02T13:07:00.000Z,2016-03,1899-12-31T00:00:07.000Z,male,21,Free State,None,youth,Afternoon,7,0.00
770963,Supersport Live Events,2016-03-24T09:45:00.000Z,2016-03-24T11:45:00.000Z,2016-03,1899-12-31T00:23:04.000Z,None,0,None,None,children,Morning,1384,0.38
770963,ICC Cricket World Cup 2011,2016-02-25T09:28:00.000Z,2016-02-25T11:28:00.000Z,2016-02,1899-12-31T00:06:10.000Z,None,0,None,None,children,Morning,370,0.10
904035,E! Entertainment,2016-03-29T19:34:00.000Z,2016-03-29T21:34:00.000Z,2016-03,1899-12-31T00:05:42.000Z,male,23,Gauteng,black,youth,Night,342,0.10
868888,ICC Cricket World Cup 2011,2016-03-30T11:55:00.000Z,2016-03-30T13:55:00.000Z,2016-03,1899-12-31T00:06:54.000Z,male,21,Gauteng,indian_asian,youth,Afternoon,414,0.12
808930,Supersport Live Events,2016-02-22T08:29:00.000Z,2016-02-22T10:29:00.000Z,2016-02,1899-12-31T00:01:28.000Z,male,35,Limpopo,indian_asian,youth,Morning,88,0.02
808930,ICC Cricket World Cup 2011,2016-03-02T09:38:00.000Z,2016-03-02T11:38:00.000Z,2016-03,1899-12-31T00:04:30.000Z,male,35,Limpopo,indian_asian,youth,Morning,270,0.08
808930,ICC Cricket World Cup 2011,2016-03-11T08:40:00.000Z,2016-03-11T10:40:00.000Z,2016-03,1899-12-31T00:00:00.000Z,male,35,Limpopo,indian_asian,youth,Morning,0,0.00
808930,ICC Cricket World Cup 2011,2016-02-24T11:23:00.000Z,2016-02-24T13:23:00.000Z,2016-02,1899-12-31T00:03:56.000Z,male,35,Limpopo,indian_asian,youth,Afternoon,236,0.07
808930,ICC Cricket World Cup 2011,2016-02-24T08:33:00.000Z,2016-02-24T10:33:00.000Z,2016-02,1899-12-31T00:03:44.000Z,male,35,Limpopo,indian_asian,youth,Morning,224,0.06
808930,Supersport Live Events,2016-02-27T17:11:00.000Z,2016-02-27T19:11:00.000Z,2016-02,1899-12-31T00:00:28.000Z,male,35,Limpopo,indian_asian,youth,Evening,28,0.01
808930,ICC Cricket World Cup 2011,2016-02-23T15:26:00.000Z,2016-02-23T17:26:00.000Z,2016-02,1899-12-31T00:00:08.000Z,male,35,Limpopo,indian_asian,youth,Evening,8,0.00
808930,ICC Cricket World Cup 2011,2016-03-30T12:19:00.000Z,2016-03-30T14:19:00.000Z,2016-03,1899-12-31T00:23:08.000Z,male,35,Limpopo,indian_asian,youth,Afternoon,1388,0.39
879414,CNN,2016-03-31T21:19:00.000Z,2016-03-31T23:19:00.000Z,2016-03,1899-12-31T00:00:52.000Z,male,30,Western Cape,coloured,youth,Night,52,0.01
771791,Channel O,2016-03-14T11:51:00.000Z,2016-03-14T13:51:00.000Z,2016-03,1899-12-31T00:02:54.000Z,male,34,Gauteng,black,youth,Afternoon,174,0.05
771791,M-Net,2016-03-06T05:02:00.000Z,2016-03-06T07:02:00.000Z,2016-03,1899-12-31T00:01:43.000Z,male,34,Gauteng,black,youth,Morning,103,0.03
819259,Supersport Live Events,2016-02-26T15:53:00.000Z,2016-02-26T17:53:00.000Z,2016-02,1899-12-31T00:01:44.000Z,female,10,Western Cape,white,children,Evening,104,0.03
2285528,ICC Cricket World Cup 2011,2016-03-15T10:20:00.000Z,2016-03-15T12:20:00.000Z,2016-03,1899-12-31T00:53:50.000Z,male,26,Western Cape,None,youth,Afternoon,3230,0.90
868892,Trace TV,2016-03-12T14:47:00.000Z,2016-03-12T16:47:00.000Z,2016-03,1899-12-31T00:05:54.000Z,male,20,Gauteng,black,youth,Afternoon,354,0.10
808971,Boomerang,2016-02-08T10:45:00.000Z,2016-02-08T12:45:00.000Z,2016-02,1899-12-31T00:00:14.000Z,male,36,Gauteng,black,adults,Afternoon,14,0.00
868892,Channel O,2016-03-10T10:50:00.000Z,2016-03-10T12:50:00.000Z,2016-03,1899-12-31T00:01:42.000Z,male,20,Gauteng,black,youth,Afternoon,102,0.03
866251,Boomerang,2016-03-10T19:13:00.000Z,2016-03-10T21:13:00.000Z,2016-03,1899-12-31T00:04:31.000Z,male,30,Gauteng,black,youth,Night,271,0.08
779369,CNN,2016-02-11T19:35:00.000Z,2016-02-11T21:35:00.000Z,2016-02,1899-12-31T00:20:39.000Z,male,36,Gauteng,black,adults,Night,1239,0.34
779369,E! Entertainment,2016-01-20T05:20:00.000Z,2016-01-20T07:20:00.000Z,2016-01,1899-12-31T00:06:16.000Z,male,36,Gauteng,black,adults,Morning,376,0.10
779369,CNN,2016-01-18T13:06:00.000Z,2016-01-18T15:06:00.000Z,2016-01,1899-12-31T00:13:19.000Z,male,36,Gauteng,black,adults,Afternoon,799,0.22
1281997,Cartoon Network,2016-02-20T16:51:00.000Z,2016-02-20T18:51:00.000Z,2016-02,1899-12-31T00:00:35.000Z,female,14,Free State,coloured,children,Evening,35,0.01
615057,Channel O,2016-01-10T07:34:00.000Z,2016-01-10T09:34:00.000Z,2016-01,1899-12-31T00:14:12.000Z,female,25,Limpopo,black,youth,Morning,852,0.24
786055,Channel O,2016-01-19T18:42:00.000Z,2016-01-19T20:42:00.000Z,2016-01,1899-12-31T00:01:03.000Z,female,25,Gauteng,white,youth,Evening,63,0.02
786055,DStv Events 1,2016-01-18T17:49:00.000Z,2016-01-18T19:49:00.000Z,2016-01,1899-12-31T00:02:25.000Z,female,25,Gauteng,white,youth,Evening,145,0.04
850656,Africa Magic,2016-03-05T21:12:00.000Z,2016-03-05T23:12:00.000Z,2016-03,1899-12-31T00:00:16.500Z,male,26,Mpumalanga,black,youth,Night,16,0.00
850656,Channel O,2016-03-06T05:25:00.000Z,2016-03-06T07:25:00.000Z,2016-03,1899-12-31T00:00:00.000Z,male,26,Mpumalanga,black,youth,Morning,0,0.00
